Ticker,Fiscal_Year,Period_End_Date,Revenue_Millions_USD,Cost_Of_Revenue_Millions_USD,Gross_Profit_Millions_USD,Net_Income_Millions_USD,Diluted_Shares_Millions,Diluted_EPS_USD,Operating_Cash_Flow_Millions_USD,CapEx_Millions_USD,Free_Cash_Flow_Millions_USD,Total_Cash_Millions_USD,Total_Current_Assets_Millions_USD,Total_Current_Liabilities_Millions_USD,Working_Capital_Millions_USD,Total_Debt_Millions_USD,Total_Assets_Millions_USD,Total_Liabilities_Millions_USD,Total_Equity_Millions_USD,Goodwill_And_Intangibles_Millions_USD,Data_Source
AMZN,2019,2019-12-31,280522.0,165536.0,114986.0,11588.0,504.0,22.992,38514.0,16861.0,21653.0,36092.0,96334.0,87812.0,8522.0,24721.0,225248.0,0.0,225248.0,18803.0,SEC EDGAR
AMZN,2018,2018-12-31,232887.0,139156.0,93731.0,10073.0,500.0,20.146,30723.0,13427.0,17296.0,31750.0,75101.0,68391.0,6710.0,24866.0,162648.0,0.0,162648.0,18658.0,SEC EDGAR
AMZN,2017,2017-12-31,177866.0,111934.0,65932.0,3033.0,493.0,6.152,18365.0,11955.0,6410.0,20522.0,60197.0,57883.0,2314.0,24843.0,131310.0,0.0,131310.0,16721.0,SEC EDGAR
AMZN,2016,2016-12-31,135987.0,88265.0,47722.0,2371.0,484.0,4.899,17203.0,6737.0,10466.0,19334.0,45781.0,43816.0,1965.0,8750.0,83402.0,0.0,83402.0,4638.0,SEC EDGAR
AMZN,2015,2015-12-31,107006.0,71651.0,35355.0,596.0,477.0,1.249,12039.0,4589.0,7450.0,15890.0,36474.0,33899.0,2575.0,8473.0,65444.0,0.0,65444.0,3759.0,SEC EDGAR
AMZN,2014,2014-12-31,88988.0,62752.0,26236.0,-241.0,462.0,-0.522,6842.0,4893.0,1949.0,14557.0,31327.0,28089.0,3238.0,9785.0,54505.0,0.0,54505.0,3319.0,SEC EDGAR
AMZN,2013,2013-12-31,74452.0,54181.0,20271.0,274.0,465.0,0.589,5475.0,3444.0,2031.0,8658.0,24625.0,22980.0,1645.0,3944.0,40159.0,0.0,40159.0,2655.0,SEC EDGAR
AMZN,2012,2012-12-31,61093.0,45971.0,15122.0,-39.0,453.0,-0.086,4180.0,3785.0,395.0,8084.0,21296.0,19002.0,2294.0,3663.0,32555.0,0.0,32555.0,2552.0,SEC EDGAR
AMZN,2011,2011-12-31,48077.0,37288.0,10789.0,631.0,461.0,1.369,3903.0,1811.0,2092.0,5269.0,17490.0,14896.0,2594.0,384.0,25278.0,0.0,25278.0,1955.0,SEC EDGAR
AMZN,2010,2010-12-31,34204.0,26561.0,7643.0,1152.0,456.0,2.526,3495.0,979.0,2516.0,3777.0,13747.0,10372.0,3375.0,184.0,18797.0,0.0,18797.0,1349.0,SEC EDGAR
AMZN,2009,2009-12-31,24509.0,18978.0,5531.0,902.0,442.0,2.041,3293.0,373.0,2920.0,3444.0,9797.0,7364.0,2433.0,109.0,13813.0,0.0,13813.0,1234.0,SEC EDGAR
AMZN,2008,2008-12-31,19166.0,14896.0,4270.0,645.0,432.0,1.493,1697.0,333.0,1364.0,2769.0,6157.0,4746.0,1411.0,409.0,8314.0,0.0,8314.0,438.0,SEC EDGAR
AMZN,2007,2007-12-31,14835.0,11482.0,3353.0,476.0,424.0,1.123,1405.0,224.0,1181.0,2539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEC EDGAR
AVGO,2025,2025-11-02,63887.0,20593.0,43294.0,23126.0,4853.0,4.765,27537.0,623.0,26914.0,16178.0,31573.0,18514.0,13059.0,65136.0,171092.0,89800.0,81292.0,130074.0,SEC EDGAR
AVGO,2024,2024-11-03,51574.0,19065.0,32509.0,5895.0,4778.0,1.234,19962.0,548.0,19414.0,9348.0,19595.0,16697.0,2898.0,1245.0,165645.0,97967.0,67678.0,138456.0,SEC EDGAR
AVGO,2023,2023-10-29,35819.0,11129.0,24690.0,14082.0,4272.0,3.296,18085.0,452.0,17633.0,14189.0,20847.0,7405.0,13442.0,1563.0,72861.0,48873.0,23988.0,47520.0,SEC EDGAR
AVGO,2022,2022-10-30,33203.0,11108.0,22095.0,11495.0,4232.0,2.716,16736.0,424.0,16312.0,12416.0,18504.0,7052.0,11452.0,403.0,73249.0,50540.0,22709.0,50725.0,SEC EDGAR
AVGO,2021,2021-10-31,27450.0,10606.0,16844.0,6437.0,429.0,15.005,13764.0,443.0,13321.0,12163.0,16586.0,6281.0,10305.0,39730.0,75570.0,50581.0,24989.0,54824.0,SEC EDGAR
AVGO,2020,2020-11-01,23888.0,10372.0,13516.0,2663.0,421.0,6.325,12061.0,463.0,11598.0,7618.0,11895.0,6371.0,5524.0,41062.0,75933.0,52032.0,23901.0,60229.0,SEC EDGAR
AVGO,2019,2019-11-03,22597.0,10114.0,12483.0,2695.0,419.0,6.432,9697.0,432.0,9265.0,5055.0,9917.0,6899.0,3018.0,32798.0,67493.0,42523.0,24970.0,54268.0,SEC EDGAR
AVGO,2018,2018-11-04,20848.0,10115.0,10733.0,12259.0,431.0,28.443,8880.0,635.0,8245.0,4292.0,9107.0,2338.0,6769.0,17493.0,50124.0,23467.0,26657.0,37675.0,SEC EDGAR
AVGO,2017,2017-10-29,17636.0,9127.0,8509.0,1692.0,421.0,4.019,6551.0,1069.0,5482.0,11204.0,15823.0,2529.0,13294.0,17548.0,54418.0,31232.0,23186.0,35538.0,SEC EDGAR
AVGO,2016,2016-10-30,13240.0,7300.0,5940.0,-1739.0,383.0,-4.54,3411.0,723.0,2688.0,3097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24732.0,SEC EDGAR
COHR,2025,2025-06-30,5810.115,3766.793,2043.322,49.364,154.755,0.319,633.6,440.836,192.764,909.2,3927.154,1794.841,2132.313,3686.921,14910.936,6429.653,8481.283,4471.084,SEC EDGAR
COHR,2024,2024-06-30,4707.688,3251.724,1455.964,-156.154,151.642,-1.03,545.731,346.816,198.915,926.033,3660.099,1343.767,2316.332,4100.218,14488.634,6542.355,7946.279,4464.329,SEC EDGAR
COHR,2023,2023-06-30,5160.1,3541.817,1618.283,-259.458,137.578,-1.886,634.025,436.06,197.965,821.31,3251.998,1078.748,2173.25,4309.798,13711.133,6482.167,7228.966,4512.7,SEC EDGAR
COHR,2022,2022-06-30,3316.616,2051.12,1265.496,234.759,116.513,2.015,413.332,314.332,99.0,2582.371,4305.192,1266.959,3038.233,2300.426,7844.846,3461.568,4383.278,1285.759,SEC EDGAR
COHR,2021,2021-06-30,3105.891,1928.432,1177.459,297.552,115.034,2.587,574.353,146.337,428.016,1591.892,3027.394,729.589,2297.805,1375.141,6512.65,2380.302,4132.348,1296.727,SEC EDGAR
COHR,2020,2020-06-30,2380.071,1588.89,791.181,-67.029,84.828,-0.79,297.292,136.877,160.415,493.046,1788.969,672.893,1116.076,2255.342,5234.714,3157.911,2076.803,1239.009,SEC EDGAR
COHR,2019,2019-06-30,1362.496,841.147,521.349,107.517,65.804,1.634,178.475,137.122,41.353,204.872,812.911,270.563,542.348,466.997,1953.773,820.564,1133.209,319.778,SEC EDGAR
COHR,2018,2018-06-30,1158.794,696.591,462.203,88.002,65.133,1.351,161.014,153.438,7.576,247.038,761.837,236.467,525.37,439.013,1761.661,737.35,1024.311,270.678,SEC EDGAR
COHR,2017,2017-06-30,972.046,583.684,388.362,95.274,64.507,1.477,118.616,138.517,-19.901,271.888,702.296,184.952,517.344,342.022,1477.297,576.734,900.563,250.342,SEC EDGAR
COHR,2016,2016-06-30,827.216,514.959,312.257,65.486,62.909,1.041,122.97,58.17,64.8,218.445,582.963,171.242,411.721,235.917,1212.591,430.253,782.338,233.755,SEC EDGAR
COHR,2015,2015-06-30,741.961,470.363,271.598,65.975,62.586,1.054,129.366,52.313,77.053,173.634,512.968,139.156,373.812,175.957,1058.164,329.083,729.081,318.356,SEC EDGAR
COHR,2014,2014-06-30,683.261,456.545,226.716,38.449,63.686,0.604,95.462,29.22,66.242,174.66,505.731,135.065,370.666,241.96,1071.926,396.883,675.043,332.549,SEC EDGAR
COHR,2013,2013-06-30,551.075,347.558,203.517,50.813,63.884,0.795,107.607,25.205,82.402,185.433,461.144,94.434,366.71,114.036,863.802,227.694,636.108,210.053,SEC EDGAR
COHR,2012,2012-06-30,516.403,315.056,201.347,60.306,64.385,0.937,88.069,42.797,45.272,134.944,410.373,83.728,326.645,12.769,706.486,115.1,591.386,124.762,SEC EDGAR
COHR,2011,2011-06-30,502.801,295.902,206.899,82.682,63.612,1.3,73.494,40.859,32.635,149.46,395.54,90.967,304.573,18.729,647.202,124.101,523.101,92.994,SEC EDGAR
COHR,2010,2010-06-30,345.091,210.492,134.599,38.577,61.504,0.627,72.42,13.837,58.583,108.026,288.27,73.185,215.085,3.384,508.981,98.121,410.86,81.083,SEC EDGAR
COHR,2009,2009-06-30,292.222,168.615,123.607,36.781,0.06,611.346,48.913,15.557,33.356,95.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.141,SEC EDGAR
CRM,2025,2026-01-31,41525.0,9270.0,32255.0,7457.0,956.0,7.8,14996.0,594.0,14402.0,7327.0,28222.0,37118.0,-8896.0,14439.0,112305.0,53163.0,59142.0,64756.0,SEC EDGAR
CRM,2024,2025-01-31,37895.0,8643.0,29252.0,6197.0,974.0,6.362,13092.0,658.0,12434.0,8848.0,29727.0,27980.0,1747.0,8433.0,102928.0,41755.0,61173.0,55711.0,SEC EDGAR
CRM,2023,2024-01-31,34857.0,8541.0,26316.0,4136.0,984.0,4.203,10234.0,736.0,9498.0,8472.0,29074.0,26631.0,2443.0,9426.0,99823.0,40177.0,59646.0,53898.0,SEC EDGAR
CRM,2022,2023-01-31,31352.0,8360.0,22992.0,208.0,997.0,0.209,7111.0,798.0,6313.0,7016.0,26395.0,25891.0,504.0,10601.0,98849.0,40490.0,58359.0,55693.0,SEC EDGAR
CRM,2021,2022-01-31,26492.0,7026.0,19466.0,1444.0,974.0,1.483,6000.0,717.0,5283.0,5464.0,22850.0,21788.0,1062.0,10596.0,95209.0,37078.0,58131.0,56915.0,SEC EDGAR
CRM,2020,2021-01-31,21252.0,5438.0,15814.0,4072.0,930.0,4.378,4801.0,710.0,4091.0,6195.0,21889.0,17728.0,4161.0,2677.0,66301.0,24808.0,41493.0,30432.0,SEC EDGAR
CRM,2019,2020-01-31,17098.0,4235.0,12863.0,126.0,850.0,0.148,4331.0,643.0,3688.0,4145.0,15963.0,14845.0,1118.0,2677.0,55126.0,21241.0,33885.0,29858.0,SEC EDGAR
CRM,2018,2019-01-31,13282.0,3451.0,9831.0,1110.0,775.0,1.432,3398.0,595.0,2803.0,2669.0,10683.0,11255.0,-572.0,3176.0,30737.0,15132.0,15605.0,14774.0,SEC EDGAR
CRM,2017,2018-01-31,10540.0,2773.0,7767.0,360.0,735.0,0.49,2738.0,534.0,2204.0,2543.484,9290.371,10129.518,-839.147,1719.498,21009.802,11617.439,9392.363,8140.541,SEC EDGAR
CRM,2016,2017-01-31,8391.984,2234.0,6157.984,323.0,700.0,0.461,2162.0,464.0,1698.0,1606.549,5996.827,7258.353,-1261.526,2008.391,17584.923,10084.796,7500.127,8377.22,SEC EDGAR
CRM,2015,2016-01-31,6667.216,0.0,6667.216,-47.426,661.647,-0.072,1672.081,284.476,1387.605,1158.363,4347.327,5617.005,-1269.678,0.0,12770.772,7767.903,5002.869,4339.943,SEC EDGAR
CRM,2014,2015-01-31,5373.586,0.0,5373.586,-262.688,624.148,-0.421,1181.444,290.454,890.99,908.117,3550.072,4390.103,-840.031,0.0,10692.982,6717.799,3975.183,3782.66,SEC EDGAR
CRM,2013,2014-01-31,4071.003,968.428,3102.575,-232.175,597.613,-0.389,883.613,299.11,584.503,781.635,2680.252,3980.188,-1299.936,285.0,9152.93,6087.715,3065.215,3500.823,SEC EDGAR
CRM,2012,2013-01-31,3050.195,683.579,2366.616,-270.445,564.896,-0.479,736.897,175.601,561.296,747.245,2015.88,2917.624,-901.744,0.0,5528.956,3157.711,2371.245,1578.732,SEC EDGAR
CRM,2011,2012-01-31,2266.539,488.886,1777.653,-11.572,541.208,-0.021,591.507,151.645,439.862,607.284,1672.222,2323.471,-651.249,0.0,4164.154,2498.053,1666.101,831.491,SEC EDGAR
CRM,2010,2011-01-31,1657.139,323.813,1333.326,64.474,136.598,0.472,459.081,90.887,368.194,424.292,1074.924,1276.466,-201.542,0.0,3091.165,1814.674,1276.491,427.741,SEC EDGAR
CRM,2009,2010-01-31,1305.583,257.925,1047.658,80.719,128.114,0.63,270.911,49.501,221.41,1011.306,1706.159,908.13,798.029,0.0,2460.201,1403.535,1056.666,55.568,SEC EDGAR
CRM,2008,2009-01-31,1076.769,220.471,856.298,43.428,125.228,0.347,229.557,61.059,168.498,483.834,1068.557,766.966,301.591,0.0,1479.822,797.335,682.487,44.872,SEC EDGAR
CRM,2007,2008-01-31,748.7,171.591,577.109,18.356,122.422,0.15,204.275,43.552,160.723,279.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEC EDGAR
ENPH,2025,2025-12-31,1472.985,785.981,687.004,172.133,134.886,1.276,136.54,40.639,95.901,474.318,2606.86,1262.15,1344.71,1204.377,3509.792,2422.769,1087.023,237.048,SEC EDGAR
